"Market","Period","Alpha","Beta","Std_Error_Beta","T_value_Beta","P_value_Beta","R_squared","Adj_R_squared","F_statistic","P_value_F","N_obs","Significant"
"USA","Full (2018-2025)",0.003635,0.001632,5.916e-05,27.5871,0,0.2749,0.2746,761.05,0,2009,"*** (1%)"
"France","Full (2018-2025)",0.003362,0.001519,5.067e-05,29.9725,0,0.3054,0.3051,898.35,0,2045,"*** (1%)"
"Brazil","Full (2018-2025)",0.001631,0.01075,0.00030009,35.8236,0,0.3929,0.3926,1283.33,0,1985,"*** (1%)"
"Turkey","Full (2018-2025)",0.01277,0.000349,6.635e-05,5.263,0,0.0139,0.0134,27.7,0,1972,"*** (1%)"
