"Date","RTA","FP","Market","Period"
2018-03-26,0.0108235166737164,3.10620231628418,"USA","P1: 2018-2019 (Pre-COVID)"
2018-03-27,0.0119492628338752,5.23300094604492,"USA","P1: 2018-2019 (Pre-COVID)"
2018-03-28,0.01053247398551,3.34339828491211,"USA","P1: 2018-2019 (Pre-COVID)"
2018-03-29,0.0054729473480536,3.1255989074707,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-02,0.0117551490533203,4.39754867553711,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-03,0.00737275537569971,2.9471019744873,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-04,0.00908173061675102,4.83654937744141,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-05,0.00758176659932303,2.30519828796387,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-06,0.00344890089477591,3.98320045471191,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-09,0.0059573372318402,3.56655158996582,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-10,0.00535465715037925,2.06115341186523,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-11,0.00553732274886099,2.47895317077637,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-12,0.00912224755381493,2.3423023223877,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-13,0.0107252410338503,3.47805061340332,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-16,0.0031396721280755,1.81060066223145,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-17,0.0113177914164003,2.80610046386719,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-18,0.00878315176174462,2.04194946289063,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-19,0.0133763029643659,1.88555221557617,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-20,0.00823849326055194,2.33830070495605,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-23,0.00656235975268335,2.17570152282715,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-24,0.00734835863579119,5.33600158691406,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-25,0.0112763012309933,3.32710342407227,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-26,0.00936412106762579,2.30860214233398,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-27,0.0132328224808928,2.25005111694336,"USA","P1: 2018-2019 (Pre-COVID)"
2018-04-30,0.00845862331664569,2.67279968261719,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-01,0.0106865015608019,2.4653491973877,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-02,0.0108729687117558,2.28944816589355,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-03,0.00588330033197236,3.28540077209473,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-04,0.00747668258710065,2.62255096435547,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-07,0.00708716735488061,2.07360229492188,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-08,0.00621236726196164,1.95060234069824,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-09,0.0063838897433767,2.3205020904541,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-10,0.00647401965955616,1.97079963684082,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-11,0.00545006779386476,1.5153018951416,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-14,0.00377281367502576,1.33739814758301,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-15,0.00299224567840897,1.46814994812012,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-16,0.00388992206250195,1.10030136108398,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-17,0.00755578694567343,1.67494888305664,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-18,0.00680625642113108,1.55644950866699,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-21,0.00604941997623813,1.61524925231934,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-22,0.00530874857220116,2.15570220947266,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-23,0.00480782244527127,2.19810104370117,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-24,0.00587576981901431,1.99105224609375,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-25,0.00577274450422363,1.27335395812988,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-29,0.0124334820246386,3.02619934082031,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-30,0.00870458190792413,1.84884986877441,"USA","P1: 2018-2019 (Pre-COVID)"
2018-05-31,0.00714805688320913,1.85749969482422,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-01,0.00358513576053191,1.31994972229004,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-04,0.00573828536298556,1.48070220947266,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-05,0.00650858191002368,1.45719871520996,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-06,0.0087007010540907,2.2401496887207,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-07,0.00719313496071477,2.18845443725586,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-08,0.0066720899244649,1.63390197753906,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-11,0.00478005550050319,1.31025047302246,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-12,0.00469327177243252,1.53645210266113,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-13,0.00575798075601865,2.17814826965332,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-14,0.00638328624394136,1.99040412902832,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-15,0.00896171396758709,2.12525100708008,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-18,0.00723282792788059,1.78239936828613,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-19,0.00956850436649427,2.22759895324707,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-20,0.00513122451300861,1.67660026550293,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-21,0.00386359151806649,1.92394676208496,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-22,0.00975973788514567,1.91174926757812,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-25,0.00725998812636253,2.47419929504395,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-26,0.00547117295074778,1.77789916992187,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-27,0.00653737976346745,3.04200096130371,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-28,0.00539797405230059,2.54990005493164,"USA","P1: 2018-2019 (Pre-COVID)"
2018-06-29,0.00542594003073346,2.14945106506348,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-02,0.00564728140979252,2.18914756774902,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-03,0.00700253612904845,2.39084892272949,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-05,0.00781041623604704,1.85194816589355,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-06,0.00449536278641771,1.84474716186523,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-09,0.00957029298274882,2.01514930725098,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-10,0.00888603007685562,1.64549942016602,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-11,0.00611284592763014,1.50805168151855,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-12,0.00715299457765462,1.48660163879395,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-13,0.00690683863778594,1.93884887695312,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-16,0.0113786972423598,1.95124740600586,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-17,0.00802933482000616,2.24129829406738,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-18,0.00614164635701393,2.03079986572266,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-19,0.0064245309048638,1.66615104675293,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-20,0.00571418337929865,1.59439735412598,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-23,0.00713938557238231,1.74604949951172,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-24,0.00750549866179357,1.89634704589844,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-25,0.0079630159921874,2.65749893188477,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-26,0.00930062649933674,1.60365142822266,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-27,0.0120173871034558,2.40685157775879,"USA","P1: 2018-2019 (Pre-COVID)"
2018-07-30,0.00881648776005752,2.68065071105957,"USA","P1: 2018-2019 (Pre-COVID)"
